year,cc,ex.rate
2000,BHD,2.65933098591549
2001,BHD,2.65962373371925
2002,BHD,2.65982811200444
2003,BHD,2.65970220941403
2004,BHD,2.65978964401295
2005,BHD,2.65972684876749
2006,BHD,2.65952860017246
2007,BHD,2.65973072215422
2008,BHD,2.65966690803765
2009,BHD,2.65947826086957
2010,BHD,2.65959867604468
2011,BHD,2.65961182994455
2012,BHD,2.6594879778585
2013,BHD,2.65950143032284
2014,BHD,2.65955074079975
2015,BHD,2.65961456102784
2016,BHD,2.65965346534653
2017,BHD,2.65961913330334
2018,BHD,2.659490643028
2019,BHD,2.65955690105958
2020,BHD,2.65954831771393
2021,BHD,2.65962632006499
2022,BHD,2.6595757430489
2023,BHD,2.65953422390353
2024,BHD,2.65964892476153
2025,BHD,2.6595399188092
2026,BHD,2.65954571443422
2027,BHD,2.65962219010118
2028,BHD,2.65955415532961
1980,BIF,0.0111168260351156
1981,BIF,0.0111096133540024
1982,BIF,0.0111138290065619
1983,BIF,0.0107567667454459
1984,BIF,0.00834960328999294
1985,BIF,0.00828342041544539
1986,BIF,0.00876071108837447
1987,BIF,0.00809126895628903
1988,BIF,0.00712051204858702
1989,BIF,0.00630364507858656
1990,BIF,0.00584007187780773
1991,BIF,0.00550864058834359
1992,BIF,0.00479952448334139
1993,BIF,0.0041187680580316
1994,BIF,0.00395625850980929
1995,BIF,0.0040050142778759
1996,BIF,0.00330172351489009
1997,BIF,0.00283760823490258
1998,BIF,0.002233164366399
1999,BIF,0.00177502664589653
2000,BIF,0.00138698024111137
2001,BIF,0.00120473155915891
2002,BIF,0.00107401597354666
2003,BIF,0.000924201360518589
2004,BIF,0.000908197599976178
2005,BIF,0.000924485201615573
2006,BIF,0.000971829910680204
2007,BIF,0.000924190481383287
2008,BIF,0.000843475621880134
2009,BIF,0.000812661960094864
2010,BIF,0.000812458767317727
2011,BIF,0.000793039974747564
2012,BIF,0.000693146671974948
2013,BIF,0.000644196721311475
2014,BIF,0.000646594982078853
2015,BIF,0.000636092946622703
2016,BIF,0.00060443936207143
2017,BIF,0.000578297086454685
2018,BIF,0.000560902319516704
2019,BIF,0.000541766569117507
2020,BIF,0.000522115464329159
2021,BIF,0.000506745261833508
2022,BIF,0.000491610746676169
2023,BIF,0.000312360465936063
2024,BIF,0.000241628726163065
2025,BIF,0.000229677415883589
2026,BIF,0.000217177121792379
2027,BIF,0.00020574964094095
2028,BIF,0.000194564330263225
1985,BND,0.45451124282623
1986,BND,0.459187944746756
1987,BND,0.47485896492519
1988,BND,0.496901939655172
1989,BND,0.512727726478662
1990,BND,0.551658449125953
1991,BND,0.578825603172855
1992,BND,0.613931785357183
1993,BND,0.618963225520603
1994,BND,0.654739827642631
1995,BND,0.705563227461038
1996,BND,0.709194723370742
1997,BND,0.673455727672595
1998,BND,0.597566421076133
1999,BND,0.589934667211107
2000,BND,0.580076762037683
2001,BND,0.558093525179856
2002,BND,0.558478523374159
2003,BND,0.573978987281776
2004,BND,0.591670623346673
2005,BND,0.600807827966777
2006,BND,0.629363703887101
